"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,0.4949022474,0,71.62433766,
2e-05,0.4949022474,2e-05,71.62433766,
4e-05,1.225762836,4e-05,71.62433766,
6e-05,0.1294719532,6e-05,71.25890736,
8e-05,0.8603325416,8e-05,71.98976795,
0.0001,1.225762836,0.0001,71.25890736,
0.00012,0.8603325416,0.00012,71.25890736,
0.00014,0.1294719532,0.00014,71.98976795,
0.00016,0.8603325416,0.00016,71.62433766,
0.00018,1.225762836,0.00018,71.25890736,
0.0002,1.225762836,0.0002,71.98976795,
0.00022,1.225762836,0.00022,71.25890736,
0.00024,1.956623424,0.00024,71.25890736,
0.00026,0.8603325416,0.00026,71.62433766,
0.00028,2.322053718,0.00028,71.25890736,
0.0003,1.225762836,0.0003,70.89347707,
0.00032,0.1294719532,0.00032,72.35519825,
0.00034,-1.332249223,0.00034,71.25890736,
0.00036,-0.6013886351,0.00036,71.25890736,
0.00038,-0.2359583409,0.00038,71.62433766,
0.0004,-0.9668189293,0.0004,71.62433766,
0.00042,-0.2359583409,0.00042,71.62433766,
0.00044,0.4949022474,0.00044,71.62433766,
0.00046,1.59119313,0.00046,71.62433766,
0.00048,-0.2359583409,0.00048,71.62433766,
0.0005,0.8603325416,0.0005,70.52804678,
0.00052,0.4949022474,0.00052,71.98976795,
0.00054,-1.332249223,0.00054,71.25890736,
0.00056,-2.7939704,0.00056,70.16261648,
0.00058,-1.697679518,0.00058,72.72062854,
0.0006,-0.6013886351,0.0006,70.89347707,
0.00062,-2.7939704,0.00062,70.89347707,
0.00064,-0.9668189293,0.00064,71.98976795,
0.00066,-0.2359583409,0.00066,71.62433766,
0.00068,0.4949022474,0.00068,71.25890736,
0.0007,0.1294719532,0.0007,71.62433766,
0.00072,0.4949022474,0.00072,71.62433766,
0.00074,0.4949022474,0.00074,71.25890736,
0.00076,0.8603325416,0.00076,71.25890736,
0.00078,-1.697679518,0.00078,71.25890736,
0.0008,-1.697679518,0.0008,70.89347707,
