"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,0.0957792801,0,70.16261648,
2e-05,-1.365941897,2e-05,71.25890736,
4e-05,0.8266398684,4e-05,70.16261648,
6e-05,0.8266398684,6e-05,69.79718619,
8e-05,-1.731372191,8e-05,69.79718619,
0.0001,-2.827663073,0.0001,70.16261648,
0.00012,-0.2696510141,0.00012,71.25890736,
0.00014,-0.2696510141,0.00014,69.43175589,
0.00016,-1.731372191,0.00016,70.16261648,
0.00018,-1.731372191,0.00018,70.52804678,
0.0002,-1.365941897,0.0002,70.16261648,
0.00022,0.4612095743,0.00022,70.52804678,
0.00024,1.192070163,0.00024,70.52804678,
0.00026,0.0957792801,0.00026,70.89347707,
0.00028,0.0957792801,0.00028,69.79718619,
0.0003,0.4612095743,0.0003,70.16261648,
0.00032,-1.365941897,0.00032,70.16261648,
0.00034,-1.000511602,0.00034,70.16261648,
0.00036,-1.731372191,0.00036,70.16261648,
0.00038,-0.6350813082,0.00038,70.89347707,
0.0004,-0.2696510141,0.0004,70.16261648,
0.00042,1.192070163,0.00042,70.52804678,
0.00044,1.192070163,0.00044,70.89347707,
0.00046,1.192070163,0.00046,69.79718619,
0.00048,1.557500457,0.00048,70.52804678,
0.0005,2.288361045,0.0005,70.52804678,
0.00052,0.4612095743,0.00052,70.16261648,
0.00054,0.8266398684,0.00054,70.16261648,
0.00056,0.8266398684,0.00056,70.16261648,
0.00058,1.922930751,0.00058,70.16261648,
0.0006,1.557500457,0.0006,69.79718619,
0.00062,-0.2696510141,0.00062,70.52804678,
0.00064,-0.6350813082,0.00064,69.79718619,
0.00066,0.8266398684,0.00066,70.52804678,
0.00068,1.922930751,0.00068,69.79718619,
0.0007,2.288361045,0.0007,69.79718619,
0.00072,1.922930751,0.00072,70.52804678,
0.00074,1.922930751,0.00074,70.16261648,
0.00076,1.557500457,0.00076,70.16261648,
0.00078,1.922930751,0.00078,70.52804678,
0.0008,1.192070163,0.0008,70.52804678,
0.00082,0.8266398684,0.00082,70.16261648,
0.00084,0.8266398684,0.00084,70.16261648,
0.00086,0.0957792801,0.00086,70.16261648,
0.00088,-1.000511602,0.00088,69.79718619,
0.0009,0.0957792801,0.0009,70.16261648,
0.00092,0.8266398684,0.00092,70.16261648,
0.00094,0.8266398684,0.00094,69.79718619,
0.00096,2.288361045,0.00096,70.16261648,
0.00098,1.192070163,0.00098,70.16261648,
0.001,0.0957792801,0.001,69.79718619,
0.00102,0.0957792801,0.00102,69.43175589,
0.00104,-1.365941897,0.00104,69.79718619,
0.00106,-2.827663073,0.00106,70.52804678,
0.00108,0.4612095743,0.00108,70.89347707,
0.0011,-1.731372191,0.0011,70.16261648,
0.00112,-2.096802485,0.00112,70.52804678,
0.00114,-1.731372191,0.00114,70.52804678,
0.00116,-0.2696510141,0.00116,70.16261648,
0.00118,1.192070163,0.00118,70.16261648,
0.0012,-1.365941897,0.0012,70.52804678,
0.00122,0.0957792801,0.00122,70.16261648,
0.00124,-1.000511602,0.00124,70.16261648,
0.00126,-0.2696510141,0.00126,70.16261648,
0.00128,-1.000511602,0.00128,70.52804678,
0.0013,-1.365941897,0.0013,70.16261648,
0.00132,-2.096802485,0.00132,70.16261648,
0.00134,0.0957792801,0.00134,70.52804678,
0.00136,-0.2696510141,0.00136,69.43175589,
0.00138,-0.2696510141,0.00138,70.16261648,
0.0014,0.8266398684,0.0014,70.52804678,
0.00142,-0.2696510141,0.00142,70.16261648,
0.00144,1.192070163,0.00144,70.16261648,
0.00146,1.922930751,0.00146,70.16261648,
0.00148,0.0957792801,0.00148,69.79718619,
0.0015,2.288361045,0.0015,70.52804678,
0.00152,1.557500457,0.00152,70.52804678,
0.00154,0.4612095743,0.00154,70.52804678,
0.00156,0.4612095743,0.00156,70.52804678,
0.00158,0.8266398684,0.00158,70.16261648,
0.0016,1.192070163,0.0016,69.79718619,
0.00162,0.8266398684,0.00162,70.16261648,
0.00164,1.192070163,0.00164,70.52804678,
0.00166,1.557500457,0.00166,70.16261648,
0.00168,0.0957792801,0.00168,70.52804678,
0.0017,1.922930751,0.0017,70.52804678,
0.00172,1.557500457,0.00172,70.16261648,
0.00174,2.288361045,0.00174,69.79718619,
0.00176,1.922930751,0.00176,70.52804678,
0.00178,0.8266398684,0.00178,70.16261648,
0.0018,0.4612095743,0.0018,70.16261648,
0.00182,0.4612095743,0.00182,70.52804678,
0.00184,-0.6350813082,0.00184,69.43175589,
0.00186,-1.731372191,0.00186,70.52804678,
0.00188,-0.2696510141,0.00188,70.52804678,
0.0019,0.0957792801,0.0019,70.16261648,
0.00192,0.4612095743,0.00192,70.52804678,
0.00194,1.192070163,0.00194,70.52804678,
0.00196,0.0957792801,0.00196,71.25890736,
0.00198,0.8266398684,0.00198,70.16261648,
0.002,0.0957792801,0.002,70.52804678,
0.00202,-2.096802485,0.00202,70.89347707,
0.00204,-1.731372191,0.00204,69.79718619,
0.00206,-3.193093367,0.00206,70.52804678,
0.00208,-2.827663073,0.00208,70.89347707,
0.0021,-2.096802485,0.0021,69.43175589,
0.00212,-1.365941897,0.00212,70.52804678,
0.00214,-1.000511602,0.00214,70.52804678,
0.00216,0.0957792801,0.00216,70.52804678,
0.00218,-1.000511602,0.00218,69.79718619,
0.0022,-1.000511602,0.0022,71.25890736,
0.00222,-0.2696510141,0.00222,69.43175589,
0.00224,-0.6350813082,0.00224,70.52804678,
0.00226,-0.6350813082,0.00226,71.25890736,
0.00228,-1.731372191,0.00228,70.52804678,
0.0023,-0.6350813082,0.0023,70.52804678,
0.00232,-1.000511602,0.00232,70.89347707,
0.00234,-0.6350813082,0.00234,70.52804678,
0.00236,0.8266398684,0.00236,70.16261648,
0.00238,0.4612095743,0.00238,70.52804678,
0.0024,0.0957792801,0.0024,70.52804678,
0.00242,0.8266398684,0.00242,69.79718619,
0.00244,0.4612095743,0.00244,70.89347707,
0.00246,0.4612095743,0.00246,70.16261648,
0.00248,0.8266398684,0.00248,70.16261648,
0.0025,1.192070163,0.0025,70.89347707,
0.00252,-0.2696510141,0.00252,70.16261648,
0.00254,1.557500457,0.00254,70.16261648,
0.00256,0.8266398684,0.00256,70.52804678,
0.00258,-0.2696510141,0.00258,70.16261648,
0.0026,1.192070163,0.0026,70.16261648,
0.00262,0.0957792801,0.00262,71.25890736,
0.00264,0.8266398684,0.00264,70.52804678,
0.00266,1.557500457,0.00266,70.16261648,
0.00268,2.288361045,0.00268,70.52804678,
0.0027,0.4612095743,0.0027,70.16261648,
0.00272,1.557500457,0.00272,70.16261648,
0.00274,2.288361045,0.00274,70.89347707,
0.00276,1.192070163,0.00276,70.52804678,
0.00278,0.4612095743,0.00278,70.16261648,
0.0028,-0.6350813082,0.0028,70.52804678,
0.00282,-1.731372191,0.00282,70.52804678,
0.00284,-1.365941897,0.00284,69.79718619,
0.00286,0.0957792801,0.00286,70.52804678,
0.00288,-0.2696510141,0.00288,70.16261648,
0.0029,0.0957792801,0.0029,70.16261648,
0.00292,1.557500457,0.00292,70.16261648,
0.00294,-0.6350813082,0.00294,69.79718619,
0.00296,-0.6350813082,0.00296,70.16261648,
0.00298,-1.731372191,0.00298,69.43175589,
0.003,-1.365941897,0.003,71.25890736,
0.00302,-1.731372191,0.00302,69.43175589,
0.00304,-0.6350813082,0.00304,70.89347707,
0.00306,-2.827663073,0.00306,71.25890736,
0.00308,-4.28938425,0.00308,70.16261648,
0.0031,-2.096802485,0.0031,70.89347707,
0.00312,-1.731372191,0.00312,70.16261648,
0.00314,0.0957792801,0.00314,70.52804678,
0.00316,-1.000511602,0.00316,70.89347707,
0.00318,-0.2696510141,0.00318,70.52804678,
0.0032,0.8266398684,0.0032,70.52804678,
0.00322,-1.000511602,0.00322,70.52804678,
0.00324,-0.6350813082,0.00324,70.89347707,
0.00326,-0.6350813082,0.00326,70.52804678,
0.00328,-1.000511602,0.00328,70.52804678,
0.0033,-0.6350813082,0.0033,70.52804678,
0.00332,0.4612095743,0.00332,70.52804678,
0.00334,1.922930751,0.00334,70.89347707,
0.00336,0.8266398684,0.00336,70.89347707,
0.00338,1.192070163,0.00338,70.52804678,
0.0034,1.557500457,0.0034,70.52804678,
0.00342,1.922930751,0.00342,70.89347707,
0.00344,0.8266398684,0.00344,70.52804678,
0.00346,1.192070163,0.00346,70.16261648,
0.00348,2.288361045,0.00348,70.89347707,
0.0035,-0.2696510141,0.0035,70.52804678,
0.00352,0.8266398684,0.00352,70.16261648,
0.00354,-0.6350813082,0.00354,70.89347707,
0.00356,0.4612095743,0.00356,70.16261648,
