"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,3.583497168,0,4.38516353,
2e-05,1.390915403,2e-05,4.38516353,
4e-05,3.948927462,4e-05,4.750593824,
6e-05,2.121775991,6e-05,4.019733236,
8e-05,1.756345697,8e-05,4.38516353,
0.0001,0.2946245204,0.0001,4.38516353,
0.00012,0.6600548145,0.00012,4.38516353,
0.00014,2.85263658,0.00014,4.38516353,
0.00016,-1.167096656,0.00016,4.38516353,
0.00018,2.121775991,0.00018,4.019733236,
0.0002,-1.167096656,0.0002,5.116024118,
0.00022,-2.628817833,0.00022,4.38516353,
0.00024,-0.0708057738,0.00024,4.019733236,
0.00026,-2.263387539,0.00026,4.38516353,
0.00028,-2.628817833,0.00028,4.38516353,
0.0003,-2.263387539,0.0003,4.38516353,
0.00032,-5.552260186,0.00032,4.750593824,
0.00034,-4.09053901,0.00034,4.750593824,
0.00036,-3.359678421,0.00036,4.019733236,
0.00038,-3.359678421,0.00038,4.750593824,
0.0004,-5.552260186,0.0004,4.38516353,
0.00042,-4.09053901,0.00042,4.019733236,
0.00044,-1.167096656,0.00044,4.38516353,
0.00046,-3.359678421,0.00046,4.38516353,
0.00048,-2.994248127,0.00048,4.38516353,
0.0005,-0.8016663621,0.0005,4.750593824,
0.00052,-1.897957245,0.00052,4.019733236,
0.00054,-0.8016663621,0.00054,4.019733236,
0.00056,-1.53252695,0.00056,4.750593824,
0.00058,-0.8016663621,0.00058,4.38516353,
0.0006,-0.436236068,0.0006,4.38516353,
0.00062,0.2946245204,0.00062,4.38516353,
0.00064,-0.0708057738,0.00064,4.019733236,
0.00066,3.583497168,0.00066,3.654302942,
0.00068,1.025485109,0.00068,5.116024118,
0.0007,2.487206285,0.0007,4.38516353,
0.00072,3.583497168,0.00072,4.38516353,
0.00074,3.583497168,0.00074,4.750593824,
0.00076,3.218066874,0.00076,4.019733236,
0.00078,4.314357756,0.00078,4.38516353,
0.0008,3.948927462,0.0008,5.116024118,
0.00082,3.948927462,0.00082,4.019733236,
0.00084,3.948927462,0.00084,4.750593824,
0.00086,3.218066874,0.00086,4.38516353,
0.00088,3.583497168,0.00088,4.38516353,
0.0009,4.314357756,0.0009,4.019733236,
0.00092,2.121775991,0.00092,4.38516353,
0.00094,1.756345697,0.00094,4.019733236,
0.00096,3.218066874,0.00096,4.38516353,
0.00098,2.85263658,0.00098,4.38516353,
0.001,2.121775991,0.001,4.019733236,
0.00102,2.121775991,0.00102,3.654302942,
0.00104,0.2946245204,0.00104,4.38516353,
0.00106,0.2946245204,0.00106,3.654302942,
0.00108,0.2946245204,0.00108,4.019733236,
0.0011,-1.167096656,0.0011,4.750593824,
0.00112,-1.53252695,0.00112,3.654302942,
0.00114,-1.167096656,0.00114,4.019733236,
0.00116,-1.53252695,0.00116,4.019733236,
0.00118,-2.263387539,0.00118,3.654302942,
0.0012,-1.897957245,0.0012,4.019733236,
0.00122,-2.994248127,0.00122,4.38516353,
0.00124,-4.09053901,0.00124,4.38516353,
0.00126,-2.628817833,0.00126,4.38516353,
0.00128,-2.994248127,0.00128,4.019733236,
0.0013,-4.455969304,0.0013,3.654302942,
0.00132,-3.359678421,0.00132,5.116024118,
0.00134,-2.628817833,0.00134,4.019733236,
0.00136,-2.628817833,0.00136,4.019733236,
0.00138,-3.359678421,0.00138,4.38516353,
0.0014,-2.628817833,0.0014,4.38516353,
0.00142,-2.263387539,0.00142,3.288872648,
0.00144,-1.53252695,0.00144,4.38516353,
0.00146,-2.263387539,0.00146,4.38516353,
0.00148,-1.167096656,0.00148,4.019733236,
0.0015,-0.436236068,0.0015,4.750593824,
0.00152,2.487206285,0.00152,5.116024118,
0.00154,-0.0708057738,0.00154,4.019733236,
0.00156,-1.167096656,0.00156,4.019733236,
0.00158,1.390915403,0.00158,4.38516353,
0.0016,1.025485109,0.0016,4.019733236,
0.00162,2.487206285,0.00162,2.923442353,
0.00164,3.583497168,0.00164,4.019733236,
0.00166,1.390915403,0.00166,3.654302942,
0.00168,3.948927462,0.00168,4.38516353,
0.0017,3.948927462,0.0017,4.38516353,
0.00172,2.487206285,0.00172,4.38516353,
0.00174,4.314357756,0.00174,4.38516353,
0.00176,3.948927462,0.00176,4.019733236,
0.00178,3.218066874,0.00178,3.654302942,
0.0018,3.583497168,0.0018,4.38516353,
0.00182,3.583497168,0.00182,5.116024118,
0.00184,3.218066874,0.00184,3.654302942,
0.00186,3.218066874,0.00186,4.019733236,
0.00188,3.218066874,0.00188,4.38516353,
0.0019,2.121775991,0.0019,3.654302942,
0.00192,3.583497168,0.00192,3.654302942,
0.00194,1.756345697,0.00194,4.38516353,
0.00196,1.756345697,0.00196,4.019733236,
