"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-5.571708387,0,4.750593824,
2e-05,-3.744556916,2e-05,4.750593824,
4e-05,-4.10998721,4e-05,4.019733236,
6e-05,-4.840847798,6e-05,4.38516353,
8e-05,-4.10998721,8e-05,4.019733236,
0.0001,-4.475417504,0.0001,4.019733236,
0.00012,-3.013696327,0.00012,4.750593824,
0.00014,-3.379126622,0.00014,4.38516353,
0.00016,-2.648266033,0.00016,4.38516353,
0.00018,-3.013696327,0.00018,4.38516353,
0.0002,-4.10998721,0.0002,4.019733236,
0.00022,-1.186544857,0.00022,3.654302942,
0.00024,-1.551975151,0.00024,4.750593824,
0.00026,-1.186544857,0.00026,4.019733236,
0.00028,-0.09025397405,0.00028,4.019733236,
0.0003,-0.09025397405,0.0003,5.116024118,
0.00032,0.2751763201,0.00032,4.38516353,
0.00034,1.371467203,0.00034,4.019733236,
0.00036,1.371467203,0.00036,5.116024118,
0.00038,2.102327791,0.00038,4.38516353,
0.0004,1.736897497,0.0004,4.019733236,
0.00042,2.467758085,0.00042,4.750593824,
0.00044,3.564048968,0.00044,4.019733236,
0.00046,2.833188379,0.00046,4.019733236,
0.00048,3.929479262,0.00048,4.38516353,
0.0005,2.833188379,0.0005,4.019733236,
0.00052,4.66033985,0.00052,4.38516353,
0.00054,5.391200439,0.00054,5.116024118,
0.00056,3.198618673,0.00056,4.750593824,
0.00058,3.564048968,0.00058,4.019733236,
0.0006,3.564048968,0.0006,4.750593824,
0.00062,3.564048968,0.00062,4.38516353,
0.00064,0.6406066143,0.00064,3.654302942,
0.00066,2.833188379,0.00066,4.750593824,
0.00068,0.6406066143,0.00068,4.019733236,
0.0007,1.006036908,0.0007,4.019733236,
0.00072,1.006036908,0.00072,4.750593824,
0.00074,-0.8211145624,0.00074,4.750593824,
0.00076,0.2751763201,0.00076,4.38516353,
0.00078,-0.4556842682,0.00078,4.750593824,
0.0008,-1.186544857,0.0008,4.750593824,
0.00082,-1.917405445,0.00082,4.019733236,
0.00084,-3.744556916,0.00084,4.38516353,
0.00086,-3.013696327,0.00086,4.019733236,
0.00088,-3.013696327,0.00088,4.38516353,
0.0009,-3.379126622,0.0009,4.750593824,
0.00092,-3.744556916,0.00092,4.019733236,
0.00094,-3.744556916,0.00094,3.288872648,
0.00096,-4.10998721,0.00096,4.750593824,
0.00098,-3.379126622,0.00098,4.019733236,
0.001,-4.475417504,0.001,4.019733236,
0.00102,-4.10998721,0.00102,4.38516353,
0.00104,-2.282835739,0.00104,4.38516353,
0.00106,-1.917405445,0.00106,4.38516353,
0.00108,-4.10998721,0.00108,4.750593824,
0.0011,-3.013696327,0.0011,4.019733236,
0.00112,-2.282835739,0.00112,4.38516353,
0.00114,-0.4556842682,0.00114,5.481454413,
0.00116,-0.8211145624,0.00116,4.38516353,
0.00118,-0.8211145624,0.00118,4.38516353,
0.0012,0.2751763201,0.0012,4.750593824,
0.00122,-0.09025397405,0.00122,4.38516353,
0.00124,0.6406066143,0.00124,4.750593824,
0.00126,1.371467203,0.00126,4.750593824,
0.00128,1.371467203,0.00128,4.750593824,
0.0013,1.736897497,0.0013,4.38516353,
0.00132,2.102327791,0.00132,5.116024118,
0.00134,2.102327791,0.00134,2.923442353,
0.00136,5.391200439,0.00136,4.38516353,
0.00138,2.833188379,0.00138,4.750593824,
0.0014,3.929479262,0.0014,4.38516353,
0.00142,3.929479262,0.00142,4.019733236,
0.00144,3.564048968,0.00144,6.577745295,
0.00146,2.833188379,0.00146,4.38516353,
0.00148,4.66033985,0.00148,4.38516353,
0.0015,3.929479262,0.0015,4.750593824,
0.00152,0.2751763201,0.00152,4.38516353,
0.00154,3.198618673,0.00154,2.558012059,
0.00156,2.467758085,0.00156,4.750593824,
0.00158,2.833188379,0.00158,4.38516353,
0.0016,1.371467203,0.0016,4.019733236,
0.00162,2.467758085,0.00162,5.116024118,
0.00164,-0.4556842682,0.00164,2.923442353,
0.00166,2.102327791,0.00166,4.019733236,
0.00168,0.2751763201,0.00168,5.116024118,
0.0017,-1.551975151,0.0017,4.38516353,
0.00172,-1.551975151,0.00172,4.019733236,
0.00174,-1.551975151,0.00174,5.846884707,
0.00176,-1.551975151,0.00176,4.019733236,
0.00178,-2.648266033,0.00178,4.019733236,
0.0018,-1.186544857,0.0018,4.750593824,
0.00182,-3.013696327,0.00182,4.019733236,
0.00184,-4.10998721,0.00184,4.019733236,
0.00186,-4.10998721,0.00186,4.750593824,
0.00188,-3.744556916,0.00188,4.750593824,
