"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,3.932402704,0,4.38516353,
2e-05,3.201542116,2e-05,4.38516353,
4e-05,2.836111822,4e-05,5.116024118,
6e-05,1.008960351,6e-05,4.750593824,
8e-05,-0.0873305317,8e-05,5.116024118,
0.0001,1.374390645,0.0001,4.750593824,
0.00012,-0.4527608259,0.00012,4.38516353,
0.00014,1.008960351,0.00014,4.750593824,
0.00016,-1.549051708,0.00016,4.750593824,
0.00018,-1.549051708,0.00018,4.019733236,
0.0002,-1.183621414,0.0002,4.750593824,
0.00022,-1.183621414,0.00022,4.750593824,
0.00024,-2.645342591,0.00024,4.750593824,
0.00026,-3.010772885,0.00026,5.116024118,
0.00028,-2.645342591,0.00028,4.019733236,
0.0003,-4.837924356,0.0003,4.38516353,
0.00032,-4.107063768,0.00032,5.116024118,
0.00034,-4.107063768,0.00034,4.750593824,
0.00036,-4.472494062,0.00036,4.019733236,
0.00038,-4.107063768,0.00038,4.750593824,
0.0004,-3.741633473,0.0004,4.750593824,
0.00042,-3.741633473,0.00042,3.654302942,
0.00044,-3.010772885,0.00044,4.38516353,
0.00046,-2.645342591,0.00046,4.750593824,
0.00048,-2.279912297,0.00048,4.38516353,
0.0005,-1.549051708,0.0005,4.750593824,
0.00052,-1.183621414,0.00052,4.019733236,
0.00054,-2.645342591,0.00054,4.38516353,
0.00056,-0.4527608259,0.00056,4.750593824,
0.00058,1.374390645,0.00058,4.38516353,
0.0006,1.374390645,0.0006,4.019733236,
0.00062,2.105251233,0.00062,4.750593824,
0.00064,2.470681527,0.00064,4.38516353,
0.00066,5.028693587,0.00066,4.38516353,
0.00068,2.836111822,0.00068,4.750593824,
0.0007,3.56697241,0.0007,4.750593824,
0.00072,3.56697241,0.00072,4.38516353,
0.00074,4.297832998,0.00074,4.750593824,
0.00076,3.932402704,0.00076,4.38516353,
0.00078,5.028693587,0.00078,4.019733236,
0.0008,3.56697241,0.0008,5.116024118,
0.00082,2.836111822,0.00082,4.750593824,
0.00084,3.932402704,0.00084,4.019733236,
0.00086,3.932402704,0.00086,4.750593824,
0.00088,3.932402704,0.00088,4.38516353,
0.0009,3.201542116,0.0009,4.38516353,
0.00092,3.56697241,0.00092,4.750593824,
0.00094,3.56697241,0.00094,4.750593824,
0.00096,1.739820939,0.00096,4.750593824,
0.00098,2.836111822,0.00098,4.750593824,
0.001,1.739820939,0.001,4.750593824,
0.00102,-1.549051708,0.00102,4.019733236,
0.00104,0.6435300566,0.00104,4.019733236,
0.00106,-0.4527608259,0.00106,4.750593824,
0.00108,-0.4527608259,0.00108,4.38516353,
0.0011,-2.279912297,0.0011,4.38516353,
0.00112,-2.279912297,0.00112,4.750593824,
0.00114,-1.549051708,0.00114,5.481454413,
0.00116,-3.376203179,0.00116,4.38516353,
0.00118,-4.107063768,0.00118,4.750593824,
0.0012,-3.010772885,0.0012,4.019733236,
0.00122,-4.107063768,0.00122,5.116024118,
0.00124,-5.568784944,0.00124,4.750593824,
0.00126,-5.20335465,0.00126,5.481454413,
0.00128,-3.010772885,0.00128,4.750593824,
0.0013,-3.376203179,0.0013,4.38516353,
0.00132,-6.299645533,0.00132,4.750593824,
0.00134,-4.107063768,0.00134,4.750593824,
0.00136,-4.107063768,0.00136,4.38516353,
0.00138,-3.010772885,0.00138,5.116024118,
0.0014,-1.549051708,0.0014,4.750593824,
0.00142,-2.279912297,0.00142,4.750593824,
0.00144,-1.914482003,0.00144,5.481454413,
0.00146,-1.549051708,0.00146,5.116024118,
0.00148,0.2780997625,0.00148,4.019733236,
0.0015,-0.0873305317,0.0015,5.481454413,
0.00152,0.2780997625,0.00152,5.116024118,
0.00154,0.2780997625,0.00154,4.38516353,
0.00156,1.374390645,0.00156,5.116024118,
0.00158,1.739820939,0.00158,4.750593824,
0.0016,1.739820939,0.0016,4.38516353,
0.00162,2.836111822,0.00162,5.116024118,
0.00164,3.56697241,0.00164,4.019733236,
0.00166,3.56697241,0.00166,4.38516353,
0.00168,4.663263293,0.00168,5.116024118,
0.0017,5.028693587,0.0017,4.750593824,
0.00172,3.201542116,0.00172,4.750593824,
0.00174,3.932402704,0.00174,5.846884707,
0.00176,3.932402704,0.00176,4.750593824,
0.00178,2.470681527,0.00178,4.38516353,
0.0018,3.932402704,0.0018,5.481454413,
0.00182,3.201542116,0.00182,4.38516353,
0.00184,4.297832998,0.00184,4.019733236,
0.00186,3.201542116,0.00186,5.116024118,
0.00188,3.201542116,0.00188,4.750593824,
0.0019,1.374390645,0.0019,4.750593824,
0.00192,1.374390645,0.00192,5.116024118,
0.00194,-1.549051708,0.00194,3.654302942,
0.00196,-0.0873305317,0.00196,4.38516353,
0.00198,-0.0873305317,0.00198,5.481454413,
0.002,-1.183621414,0.002,4.750593824,
0.00202,-1.549051708,0.00202,4.38516353,
0.00204,-2.279912297,0.00204,6.212315001,
0.00206,-1.914482003,0.00206,4.750593824,
0.00208,-4.107063768,0.00208,4.750593824,
0.0021,-2.645342591,0.0021,5.116024118,
0.00212,-3.376203179,0.00212,5.116024118,
0.00214,-4.472494062,0.00214,4.750593824,
0.00216,-3.741633473,0.00216,5.846884707,
0.00218,-4.837924356,0.00218,4.750593824,
0.0022,-4.472494062,0.0022,4.38516353,
0.00222,-5.20335465,0.00222,5.116024118,
0.00224,-4.107063768,0.00224,4.38516353,
0.00226,-4.107063768,0.00226,4.750593824,
0.00228,-3.741633473,0.00228,5.116024118,
0.0023,-4.107063768,0.0023,4.38516353,
0.00232,-3.741633473,0.00232,4.38516353,
0.00234,-4.472494062,0.00234,6.212315001,
0.00236,-2.279912297,0.00236,5.116024118,
0.00238,-0.4527608259,0.00238,4.750593824,
0.0024,-0.0873305317,0.0024,5.481454413,
0.00242,-1.183621414,0.00242,4.750593824,
0.00244,-0.4527608259,0.00244,4.750593824,
0.00246,-2.279912297,0.00246,4.750593824,
0.00248,-0.0873305317,0.00248,4.750593824,
0.0025,2.105251233,0.0025,4.750593824,
0.00252,-0.4527608259,0.00252,5.481454413,
0.00254,1.739820939,0.00254,4.750593824,
0.00256,2.105251233,0.00256,4.750593824,
0.00258,3.56697241,0.00258,5.116024118,
0.0026,3.932402704,0.0026,4.38516353,
0.00262,3.56697241,0.00262,5.116024118,
0.00264,4.297832998,0.00264,5.116024118,
0.00266,3.56697241,0.00266,4.38516353,
0.00268,5.028693587,0.00268,4.750593824,
0.0027,3.56697241,0.0027,5.116024118,
0.00272,4.297832998,0.00272,4.750593824,
0.00274,2.836111822,0.00274,4.019733236,
0.00276,2.105251233,0.00276,4.750593824,
0.00278,3.201542116,0.00278,4.750593824,
0.0028,0.6435300566,0.0028,4.750593824,
0.00282,0.6435300566,0.00282,5.481454413,
0.00284,-0.0873305317,0.00284,5.116024118,
0.00286,0.6435300566,0.00286,4.750593824,
0.00288,0.6435300566,0.00288,5.116024118,
0.0029,1.008960351,0.0029,5.116024118,
0.00292,-1.183621414,0.00292,4.750593824,
0.00294,-1.549051708,0.00294,5.116024118,
0.00296,-1.914482003,0.00296,4.750593824,
0.00298,-3.010772885,0.00298,4.019733236,
0.003,-2.279912297,0.003,5.481454413,
0.00302,-2.645342591,0.00302,4.750593824,
0.00304,-2.645342591,0.00304,4.750593824,
0.00306,-4.472494062,0.00306,5.116024118,
0.00308,-5.20335465,0.00308,4.750593824,
0.0031,-3.010772885,0.0031,5.116024118,
0.00312,-4.837924356,0.00312,5.481454413,
0.00314,-4.107063768,0.00314,4.750593824,
0.00316,-2.645342591,0.00316,5.116024118,
0.00318,-4.472494062,0.00318,5.481454413,
0.0032,-3.376203179,0.0032,4.38516353,
0.00322,-3.741633473,0.00322,5.116024118,
0.00324,-3.376203179,0.00324,4.750593824,
0.00326,-3.741633473,0.00326,4.750593824,
0.00328,-1.914482003,0.00328,5.116024118,
0.0033,-2.645342591,0.0033,4.750593824,
0.00332,-3.376203179,0.00332,4.750593824,
0.00334,0.2780997625,0.00334,5.116024118,
0.00336,1.008960351,0.00336,5.481454413,
0.00338,0.6435300566,0.00338,5.116024118,
0.0034,0.6435300566,0.0034,5.116024118,
0.00342,1.374390645,0.00342,4.750593824,
0.00344,2.470681527,0.00344,5.481454413,
0.00346,3.201542116,0.00346,5.116024118,
0.00348,1.008960351,0.00348,4.750593824,
0.0035,3.201542116,0.0035,4.750593824,
0.00352,6.490414763,0.00352,5.116024118,
0.00354,3.201542116,0.00354,5.116024118,
0.00356,3.932402704,0.00356,4.38516353,
0.00358,4.663263293,0.00358,5.116024118,
0.0036,4.297832998,0.0036,4.38516353,
0.00362,3.932402704,0.00362,4.750593824,
0.00364,5.028693587,0.00364,5.116024118,
0.00366,1.739820939,0.00366,4.750593824,
0.00368,4.297832998,0.00368,4.750593824,
0.0037,4.297832998,0.0037,5.481454413,
0.00372,3.201542116,0.00372,5.116024118,
0.00374,2.470681527,0.00374,4.38516353,
0.00376,3.201542116,0.00376,5.116024118,
0.00378,1.374390645,0.00378,4.750593824,
0.0038,3.201542116,0.0038,5.116024118,
0.00382,1.374390645,0.00382,5.481454413,
0.00384,0.2780997625,0.00384,5.116024118,
0.00386,0.2780997625,0.00386,5.116024118,
0.00388,-1.549051708,0.00388,5.481454413,
0.0039,-2.279912297,0.0039,5.116024118,
0.00392,0.2780997625,0.00392,4.750593824,
0.00394,-2.645342591,0.00394,5.116024118,
0.00396,-3.010772885,0.00396,4.750593824,
0.00398,-4.107063768,0.00398,4.750593824,
0.004,-3.741633473,0.004,5.116024118,
0.00402,-3.010772885,0.00402,5.116024118,
0.00404,-4.472494062,0.00404,4.750593824,
0.00406,-5.20335465,0.00406,4.750593824,
0.00408,-4.472494062,0.00408,5.116024118,
0.0041,-4.107063768,0.0041,4.750593824,
0.00412,-3.376203179,0.00412,5.116024118,
0.00414,-3.376203179,0.00414,4.750593824,
0.00416,-2.279912297,0.00416,4.38516353,
0.00418,-3.010772885,0.00418,4.38516353,
0.0042,-3.010772885,0.0042,4.750593824,
0.00422,-2.279912297,0.00422,4.750593824,
0.00424,-0.81819112,0.00424,4.750593824,
0.00426,0.2780997625,0.00426,4.38516353,
0.00428,-1.183621414,0.00428,4.750593824,
0.0043,1.374390645,0.0043,4.750593824,
0.00432,1.374390645,0.00432,4.750593824,
0.00434,1.374390645,0.00434,4.750593824,
0.00436,0.2780997625,0.00436,5.116024118,
0.00438,2.836111822,0.00438,4.750593824,
0.0044,3.201542116,0.0044,4.750593824,
0.00442,2.836111822,0.00442,4.750593824,
0.00444,3.932402704,0.00444,4.750593824,
