"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-0.432545222,0,4.750593824,
2e-05,-0.06711492783,2e-05,4.019733236,
4e-05,1.394606249,4e-05,5.481454413,
6e-05,0.6637456605,6e-05,5.116024118,
8e-05,1.760036543,8e-05,4.38516353,
0.0001,2.856327426,0.0001,4.38516353,
0.00012,2.856327426,0.00012,4.38516353,
0.00014,3.22175772,0.00014,3.654302942,
0.00016,3.587188014,0.00016,4.750593824,
0.00018,2.125466837,0.00018,4.750593824,
0.0002,4.318048602,0.0002,4.019733236,
0.00022,3.587188014,0.00022,4.019733236,
0.00024,3.22175772,0.00024,3.288872648,
0.00026,3.952618308,0.00026,4.38516353,
0.00028,3.587188014,0.00028,4.019733236,
0.0003,3.22175772,0.0003,4.750593824,
0.00032,4.318048602,0.00032,4.38516353,
0.00034,2.856327426,0.00034,5.481454413,
0.00036,2.490897131,0.00036,4.750593824,
0.00038,2.856327426,0.00038,4.38516353,
0.0004,1.760036543,0.0004,4.750593824,
0.00042,0.6637456605,0.00042,5.116024118,
0.00044,-0.432545222,0.00044,3.654302942,
0.00046,-2.259696693,0.00046,4.750593824,
0.00048,-0.432545222,0.00048,5.846884707,
0.0005,-0.7979755162,0.0005,4.38516353,
0.00052,-1.16340581,0.00052,4.38516353,
0.00054,-2.259696693,0.00054,4.750593824,
0.00056,-2.625126987,0.00056,4.38516353,
0.00058,-1.894266399,0.00058,4.38516353,
0.0006,-2.990557281,0.0006,4.750593824,
0.00062,-1.16340581,0.00062,4.38516353,
0.00064,-4.086848164,0.00064,5.116024118,
0.00066,0.6637456605,0.00066,4.38516353,
0.00068,-2.990557281,0.00068,4.38516353,
0.0007,-2.990557281,0.0007,4.750593824,
0.00072,-4.086848164,0.00072,4.750593824,
0.00074,-2.990557281,0.00074,3.654302942,
0.00076,-4.452278458,0.00076,4.38516353,
0.00078,-4.086848164,0.00078,4.750593824,
0.0008,-2.625126987,0.0008,4.38516353,
0.00082,-2.259696693,0.00082,4.38516353,
0.00084,-3.355987575,0.00084,4.750593824,
0.00086,-1.528836105,0.00086,4.38516353,
0.00088,0.6637456605,0.00088,4.750593824,
0.0009,-1.16340581,0.0009,4.750593824,
0.00092,0.6637456605,0.00092,4.38516353,
0.00094,-0.06711492783,0.00094,4.750593824,
0.00096,1.394606249,0.00096,5.116024118,
0.00098,2.490897131,0.00098,4.38516353,
0.001,1.394606249,0.001,4.750593824,
0.00102,1.760036543,0.00102,4.750593824,
0.00104,1.760036543,0.00104,4.019733236,
0.00106,2.490897131,0.00106,4.750593824,
0.00108,1.760036543,0.00108,4.38516353,
0.0011,2.125466837,0.0011,4.38516353,
0.00112,1.029175955,0.00112,4.38516353,
0.00114,3.587188014,0.00114,4.750593824,
0.00116,5.414339485,0.00116,4.38516353,
0.00118,3.587188014,0.00118,4.750593824,
0.0012,3.952618308,0.0012,4.38516353,
0.00122,3.952618308,0.00122,4.38516353,
0.00124,3.22175772,0.00124,4.38516353,
0.00126,3.22175772,0.00126,4.750593824,
0.00128,2.856327426,0.00128,4.750593824,
0.0013,4.318048602,0.0013,4.38516353,
0.00132,0.2983153663,0.00132,4.38516353,
0.00134,2.856327426,0.00134,3.654302942,
0.00136,-0.432545222,0.00136,4.750593824,
0.00138,0.6637456605,0.00138,4.750593824,
0.0014,-1.16340581,0.0014,4.38516353,
0.00142,-0.7979755162,0.00142,5.116024118,
0.00144,-1.16340581,0.00144,4.38516353,
0.00146,-2.990557281,0.00146,4.38516353,
0.00148,-1.894266399,0.00148,4.750593824,
0.0015,-2.990557281,0.0015,4.38516353,
0.00152,-2.259696693,0.00152,4.38516353,
0.00154,-2.990557281,0.00154,4.019733236,
0.00156,-2.990557281,0.00156,4.38516353,
0.00158,-2.990557281,0.00158,4.38516353,
0.0016,-3.355987575,0.0016,4.750593824,
0.00162,-3.72141787,0.00162,4.38516353,
0.00164,-3.355987575,0.00164,4.38516353,
0.00166,-3.355987575,0.00166,4.750593824,
0.00168,-3.355987575,0.00168,4.38516353,
0.0017,-3.72141787,0.0017,4.38516353,
0.00172,-2.990557281,0.00172,4.750593824,
0.00174,-2.625126987,0.00174,4.019733236,
0.00176,-2.990557281,0.00176,4.38516353,
0.00178,-0.7979755162,0.00178,4.38516353,
0.0018,-2.259696693,0.0018,4.750593824,
0.00182,-1.16340581,0.00182,4.019733236,
0.00184,-0.432545222,0.00184,5.116024118,
0.00186,-1.894266399,0.00186,4.019733236,
0.00188,1.029175955,0.00188,4.38516353,
0.0019,2.490897131,0.0019,4.750593824,
0.00192,1.029175955,0.00192,4.750593824,
0.00194,2.125466837,0.00194,4.019733236,
0.00196,2.125466837,0.00196,4.38516353,
0.00198,1.394606249,0.00198,4.019733236,
0.002,3.587188014,0.002,4.019733236,
0.00202,3.22175772,0.00202,4.38516353,
0.00204,3.587188014,0.00204,4.019733236,
0.00206,3.587188014,0.00206,4.38516353,
0.00208,3.587188014,0.00208,4.38516353,
0.0021,3.22175772,0.0021,3.654302942,
0.00212,2.856327426,0.00212,4.38516353,
0.00214,3.22175772,0.00214,4.38516353,
0.00216,3.587188014,0.00216,4.019733236,
0.00218,2.856327426,0.00218,4.38516353,
0.0022,2.856327426,0.0022,4.38516353,
0.00222,2.856327426,0.00222,3.288872648,
0.00224,1.394606249,0.00224,4.38516353,
0.00226,3.587188014,0.00226,4.38516353,
0.00228,1.394606249,0.00228,4.019733236,
0.0023,1.029175955,0.0023,4.38516353,
0.00232,1.029175955,0.00232,4.38516353,
0.00234,-1.16340581,0.00234,4.019733236,
