"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-2.496977891,0,6.577745295,
2e-05,-4.324129362,2e-05,6.212315001,
4e-05,-5.420420245,4e-05,6.577745295,
6e-05,-5.054989951,6e-05,6.577745295,
8e-05,-3.593268774,8e-05,6.943175589,
0.0001,-5.420420245,0.0001,6.577745295,
0.00012,-6.882141422,0.00012,5.846884707,
0.00014,-5.785850539,0.00014,7.308605883,
0.00016,-7.247571716,0.00016,5.846884707,
0.00018,-7.978432304,0.00018,6.212315001,
0.0002,-6.516711127,0.0002,6.943175589,
0.00022,-6.516711127,0.00022,7.308605883,
0.00024,-6.882141422,0.00024,6.212315001,
0.00026,-5.420420245,0.00026,7.674036178,
0.00028,-5.054989951,0.00028,6.212315001,
0.0003,-5.054989951,0.0003,6.212315001,
0.00032,-4.324129362,0.00032,5.846884707,
0.00034,-3.22783848,0.00034,6.212315001,
0.00036,-0.6698264206,0.00036,5.846884707,
0.00038,-2.496977891,0.00038,7.308605883,
0.0004,-1.035256715,0.0004,6.577745295,
0.00042,-1.400687009,0.00042,7.308605883,
0.00044,0.7918947561,0.00044,6.943175589,
0.00046,-1.400687009,0.00046,6.577745295,
0.00048,2.619046227,0.00048,6.577745295,
0.0005,2.984476521,0.0005,7.308605883,
0.00052,3.715337109,0.00052,5.846884707,
0.00054,4.446197698,0.00054,6.577745295,
0.00056,7.369640051,0.00056,7.308605883,
0.00058,5.54248858,0.00058,6.577745295,
0.0006,6.638779463,0.0006,6.212315001,
0.00062,8.10050064,0.00062,6.577745295,
0.00064,5.907918874,0.00064,6.577745295,
0.00066,7.369640051,0.00066,6.577745295,
0.00068,6.638779463,0.00068,6.943175589,
0.0007,6.273349169,0.0007,6.577745295,
0.00072,6.273349169,0.00072,6.577745295,
0.00074,7.004209757,0.00074,7.308605883,
0.00076,5.54248858,0.00076,7.308605883,
0.00078,4.446197698,0.00078,5.846884707,
0.0008,4.080767404,0.0008,6.577745295,
0.00082,1.888185639,0.00082,6.577745295,
0.00084,1.522755344,0.00084,6.212315001,
0.00086,0.7918947561,0.00086,6.577745295,
0.00088,0.4264644619,0.00088,6.212315001,
0.0009,-2.862408186,0.0009,6.577745295,
0.00092,-1.035256715,0.00092,6.943175589,
0.00094,-2.496977891,0.00094,6.943175589,
0.00096,-1.035256715,0.00096,6.212315001,
0.00098,-3.593268774,0.00098,6.943175589,
0.001,-4.689559656,0.001,6.577745295,
0.00102,-6.151280833,0.00102,6.577745295,
0.00104,-5.785850539,0.00104,6.943175589,
0.00106,-10.17101407,0.00106,6.577745295,
0.00108,-7.978432304,0.00108,6.212315001,
0.0011,-7.247571716,0.0011,7.308605883,
0.00112,-9.440153481,0.00112,5.846884707,
0.00114,-8.709292892,0.00114,6.577745295,
0.00116,-6.516711127,0.00116,7.308605883,
0.00118,-6.516711127,0.00118,6.577745295,
0.0012,-5.420420245,0.0012,6.943175589,
0.00122,-5.785850539,0.00122,7.308605883,
0.00124,-5.420420245,0.00124,6.577745295,
0.00126,-5.054989951,0.00126,6.212315001,
0.00128,-3.22783848,0.00128,6.943175589,
0.0013,-2.862408186,0.0013,6.577745295,
0.00132,-2.131547597,0.00132,6.212315001,
0.00134,-1.400687009,0.00134,6.943175589,
0.00136,-0.3043961264,0.00136,5.846884707,
0.00138,0.4264644619,0.00138,6.212315001,
0.0014,2.619046227,0.0014,6.943175589,
0.00142,2.253615933,0.00142,6.212315001,
0.00144,2.253615933,0.00144,6.212315001,
0.00146,3.349906815,0.00146,6.943175589,
0.00148,5.54248858,0.00148,6.212315001,
0.0015,5.54248858,0.0015,6.212315001,
0.00152,6.273349169,0.00152,6.943175589,
0.00154,6.638779463,0.00154,6.577745295,
0.00156,6.638779463,0.00156,6.577745295,
0.00158,6.638779463,0.00158,6.943175589,
0.0016,6.638779463,0.0016,6.577745295,
0.00162,7.735070345,0.00162,6.577745295,
0.00164,4.811627992,0.00164,6.943175589,
0.00166,5.907918874,0.00166,6.577745295,
0.00168,5.907918874,0.00168,6.943175589,
0.0017,4.446197698,0.0017,6.577745295,
0.00172,4.446197698,0.00172,6.577745295,
0.00174,4.446197698,0.00174,6.943175589,
0.00176,2.619046227,0.00176,6.577745295,
0.00178,1.888185639,0.00178,6.577745295,
0.0018,1.15732505,0.0018,6.577745295,
0.00182,0.06103416773,0.00182,7.308605883,
0.00184,-1.035256715,0.00184,6.943175589,
0.00186,-1.400687009,0.00186,6.943175589,
0.00188,-2.131547597,0.00188,6.943175589,
0.0019,-2.862408186,0.0019,7.308605883,
0.00192,-3.593268774,0.00192,7.308605883,
0.00194,-4.689559656,0.00194,6.577745295,
0.00196,-4.324129362,0.00196,6.943175589,
0.00198,-5.420420245,0.00198,6.943175589,
0.002,-5.785850539,0.002,6.943175589,
0.00202,-5.420420245,0.00202,6.577745295,
0.00204,-6.516711127,0.00204,7.308605883,
0.00206,-7.61300201,0.00206,6.943175589,
0.00208,-6.151280833,0.00208,6.577745295,
0.0021,-6.882141422,0.0021,6.943175589,
0.00212,-6.516711127,0.00212,6.943175589,
0.00214,-6.151280833,0.00214,6.212315001,
0.00216,-4.689559656,0.00216,6.943175589,
0.00218,-4.689559656,0.00218,6.577745295,
0.0022,-3.593268774,0.0022,6.212315001,
0.00222,0.4264644619,0.00222,6.943175589,
0.00224,-3.593268774,0.00224,6.212315001,
0.00226,-1.035256715,0.00226,6.577745295,
0.00228,0.06103416773,0.00228,6.943175589,
0.0023,1.15732505,0.0023,6.943175589,
0.00232,1.522755344,0.00232,6.577745295,
0.00234,3.349906815,0.00234,6.943175589,
0.00236,4.446197698,0.00236,6.577745295,
0.00238,4.080767404,0.00238,6.943175589,
0.0024,7.004209757,0.0024,6.943175589,
0.00242,5.907918874,0.00242,6.577745295,
0.00244,6.638779463,0.00244,7.674036178,
0.00246,5.907918874,0.00246,6.577745295,
0.00248,5.907918874,0.00248,6.577745295,
0.0025,7.735070345,0.0025,6.943175589,
0.00252,7.004209757,0.00252,6.577745295,
0.00254,7.004209757,0.00254,6.577745295,
0.00256,7.369640051,0.00256,6.943175589,
0.00258,6.638779463,0.00258,6.943175589,
0.0026,6.638779463,0.0026,6.943175589,
0.00262,3.715337109,0.00262,6.577745295,
0.00264,4.811627992,0.00264,6.212315001,
0.00266,4.446197698,0.00266,6.943175589,
0.00268,3.349906815,0.00268,6.577745295,
0.0027,2.619046227,0.0027,6.577745295,
0.00272,1.888185639,0.00272,7.308605883,
0.00274,0.4264644619,0.00274,7.674036178,
0.00276,-0.6698264206,0.00276,6.577745295,
0.00278,-1.035256715,0.00278,6.943175589,
0.0028,-1.400687009,0.0028,6.577745295,
0.00282,-2.862408186,0.00282,6.943175589,
0.00284,-3.593268774,0.00284,6.212315001,
0.00286,-6.882141422,0.00286,6.577745295,
0.00288,-5.054989951,0.00288,6.212315001,
0.0029,-5.420420245,0.0029,7.308605883,
0.00292,-6.516711127,0.00292,6.577745295,
0.00294,-6.882141422,0.00294,6.943175589,
0.00296,-6.882141422,0.00296,6.943175589,
0.00298,-6.882141422,0.00298,6.577745295,
0.003,-7.247571716,0.003,6.577745295,
0.00302,-6.516711127,0.00302,6.943175589,
0.00304,-10.90187466,0.00304,6.943175589,
0.00306,-5.785850539,0.00306,6.943175589,
0.00308,-5.785850539,0.00308,6.943175589,
0.0031,-6.882141422,0.0031,6.943175589,
0.00312,-4.324129362,0.00312,6.212315001,
0.00314,-3.593268774,0.00314,6.212315001,
0.00316,-2.131547597,0.00316,6.577745295,
0.00318,-2.131547597,0.00318,6.577745295,
0.0032,-0.6698264206,0.0032,6.943175589,
0.00322,-0.3043961264,0.00322,6.212315001,
0.00324,0.4264644619,0.00324,6.212315001,
0.00326,0.7918947561,0.00326,6.943175589,
0.00328,2.984476521,0.00328,6.577745295,
0.0033,3.349906815,0.0033,6.577745295,
0.00332,4.811627992,0.00332,7.308605883,
0.00334,5.177058286,0.00334,7.308605883,
0.00336,7.369640051,0.00336,6.577745295,
0.00338,6.638779463,0.00338,6.943175589,
0.0034,5.177058286,0.0034,6.577745295,
