"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-5.749548694,0,8.77032706,
2e-05,-9.769281929,2e-05,8.77032706,
4e-05,-9.038421341,4e-05,8.404896766,
6e-05,-8.672991047,6e-05,8.77032706,
8e-05,-9.403851635,8e-05,8.404896766,
0.0001,-9.403851635,0.0001,8.404896766,
0.00012,-8.307560753,0.00012,8.77032706,
0.00014,-9.403851635,0.00014,8.404896766,
0.00016,-7.21126987,0.00016,8.039466472,
0.00018,-2.460676046,0.00018,8.77032706,
0.0002,-5.749548694,0.0002,8.404896766,
0.00022,-4.653257811,0.00022,8.404896766,
0.00024,-4.653257811,0.00024,8.404896766,
0.00026,-2.460676046,0.00026,8.77032706,
0.00028,1.193626896,0.00028,8.039466472,
0.0003,1.193626896,0.0003,8.77032706,
0.00032,2.655348072,0.00032,8.404896766,
0.00034,4.482499543,0.00034,8.404896766,
0.00036,4.117069249,0.00036,8.039466472,
0.00038,7.040511602,0.00038,8.77032706,
0.0004,7.771372191,0.0004,8.77032706,
0.00042,8.136802485,0.00042,8.039466472,
0.00044,5.213360132,0.00044,8.404896766,
0.00046,8.136802485,0.00046,8.77032706,
0.00048,8.867663073,0.00048,8.039466472,
0.0005,7.771372191,0.0005,8.77032706,
0.00052,8.136802485,0.00052,8.404896766,
0.00054,8.136802485,0.00054,8.404896766,
0.00056,9.598523662,0.00056,8.404896766,
0.00058,7.771372191,0.00058,8.77032706,
0.0006,7.771372191,0.0006,8.77032706,
0.00062,7.405941897,0.00062,8.77032706,
0.00064,5.94422072,0.00064,8.039466472,
0.00066,8.136802485,0.00066,8.77032706,
0.00068,4.482499543,0.00068,8.404896766,
0.0007,2.655348072,0.0007,9.135757354,
0.00072,3.751638955,0.00072,8.404896766,
0.00074,2.289917778,0.00074,8.77032706,
0.00076,1.193626896,0.00076,8.77032706,
0.00078,-2.095245752,0.00078,8.404896766,
0.0008,-3.191536634,0.0008,7.674036178,
0.00082,-2.82610634,0.00082,9.135757354,
0.00084,-5.018688105,0.00084,8.404896766,
0.00086,-5.749548694,0.00086,7.674036178,
0.00088,-7.21126987,0.00088,8.77032706,
0.0009,-7.21126987,0.0009,8.039466472,
0.00092,-9.038421341,0.00092,7.674036178,
0.00094,-9.038421341,0.00094,8.77032706,
0.00096,-9.038421341,0.00096,8.039466472,
0.00098,-9.403851635,0.00098,8.039466472,
0.001,-7.942130459,0.001,9.135757354,
0.00102,-9.769281929,0.00102,8.404896766,
0.00104,-11.23100311,0.00104,8.404896766,
0.00106,-7.942130459,0.00106,8.404896766,
0.00108,-8.307560753,0.00108,8.039466472,
0.0011,-7.942130459,0.0011,7.674036178,
0.00112,-5.384118399,0.00112,8.404896766,
0.00114,-8.307560753,0.00114,8.404896766,
0.00116,-4.653257811,0.00116,8.039466472,
0.00118,-2.82610634,0.00118,8.77032706,
0.0012,-2.460676046,0.0012,7.674036178,
0.00122,-0.268094281,0.00122,8.039466472,
0.00124,0.8281966015,0.00124,8.77032706,
0.00126,1.55905719,0.00126,8.039466472,
0.00128,4.117069249,0.00128,8.039466472,
0.0013,5.94422072,0.0013,10.23204824,
0.00132,6.675081308,0.00132,8.404896766,
0.00134,6.309651014,0.00134,8.404896766,
0.00136,8.136802485,0.00136,8.77032706,
0.00138,5.94422072,0.00138,8.404896766,
0.0014,8.136802485,0.0014,6.577745295,
0.00142,7.771372191,0.00142,9.135757354,
0.00144,7.771372191,0.00144,8.039466472,
0.00146,6.675081308,0.00146,8.404896766,
0.00148,8.136802485,0.00148,8.77032706,
0.0015,6.309651014,0.0015,9.501187648,
0.00152,8.136802485,0.00152,8.039466472,
0.00154,8.136802485,0.00154,8.77032706,
0.00156,7.405941897,0.00156,8.404896766,
0.00158,7.040511602,0.00158,8.404896766,
0.0016,7.040511602,0.0016,7.308605883,
0.00162,4.482499543,0.00162,8.039466472,
0.00164,3.751638955,0.00164,8.039466472,
0.00166,3.020778367,0.00166,8.77032706,
0.00168,1.193626896,0.00168,8.039466472,
0.0017,-1.364385164,0.0017,7.674036178,
0.00172,-0.9989548694,0.00172,8.404896766,
0.00174,-2.82610634,0.00174,8.77032706,
0.00176,-3.922397223,0.00176,8.039466472,
0.00178,-4.653257811,0.00178,8.77032706,
0.0018,-6.114978988,0.0018,9.135757354,
0.00182,-6.114978988,0.00182,8.404896766,
0.00184,-7.576700164,0.00184,8.77032706,
0.00186,-8.672991047,0.00186,8.404896766,
0.00188,-7.576700164,0.00188,8.039466472,
0.0019,-9.038421341,0.0019,7.674036178,
0.00192,-9.403851635,0.00192,8.404896766,
0.00194,-10.86557281,0.00194,8.404896766,
0.00196,-9.403851635,0.00196,9.135757354,
0.00198,-9.403851635,0.00198,8.039466472,
0.002,-7.942130459,0.002,9.501187648,
0.00202,-8.307560753,0.00202,8.404896766,
0.00204,-6.845839576,0.00204,8.404896766,
0.00206,-6.114978988,0.00206,9.135757354,
0.00208,-7.576700164,0.00208,8.77032706,
0.0021,-3.556966929,0.0021,8.039466472,
0.00212,-2.460676046,0.00212,8.404896766,
0.00214,-0.9989548694,0.00214,8.77032706,
0.00216,0.4627663073,0.00216,8.404896766,
0.00218,3.020778367,0.00218,8.77032706,
0.0022,3.020778367,0.0022,8.039466472,
0.00222,5.94422072,0.00222,8.404896766,
0.00224,6.675081308,0.00224,8.77032706,
0.00226,9.598523662,0.00226,8.404896766,
0.00228,8.502232779,0.00228,8.404896766,
0.0023,7.405941897,0.0023,9.501187648,
0.00232,2.655348072,0.00232,9.501187648,
0.00234,8.502232779,0.00234,8.77032706,
0.00236,7.771372191,0.00236,8.404896766,
0.00238,8.867663073,0.00238,8.77032706,
0.0024,9.963953956,0.0024,8.039466472,
0.00242,8.136802485,0.00242,8.77032706,
0.00244,7.771372191,0.00244,8.404896766,
0.00246,8.136802485,0.00246,8.404896766,
0.00248,8.136802485,0.00248,8.77032706,
0.0025,7.040511602,0.0025,9.501187648,
0.00252,8.502232779,0.00252,8.404896766,
0.00254,6.309651014,0.00254,8.77032706,
0.00256,4.482499543,0.00256,8.77032706,
0.00258,4.482499543,0.00258,8.404896766,
0.0026,3.020778367,0.0026,8.77032706,
0.00262,-1.364385164,0.00262,8.77032706,
0.00264,-2.82610634,0.00264,8.039466472,
0.00266,-2.095245752,0.00266,8.77032706,
0.00268,-3.191536634,0.00268,8.039466472,
0.0027,-5.018688105,0.0027,8.404896766,
0.00272,-6.114978988,0.00272,8.404896766,
0.00274,-7.21126987,0.00274,8.404896766,
0.00276,-7.942130459,0.00276,8.404896766,
0.00278,-9.038421341,0.00278,8.77032706,
0.0028,-9.769281929,0.0028,8.77032706,
0.00282,-9.038421341,0.00282,8.404896766,
0.00284,-9.403851635,0.00284,8.77032706,
0.00286,-9.769281929,0.00286,8.404896766,
0.00288,-9.403851635,0.00288,8.404896766,
0.0029,-9.038421341,0.0029,8.77032706,
0.00292,-10.13471222,0.00292,8.039466472,
0.00294,-7.942130459,0.00294,8.404896766,
0.00296,-7.576700164,0.00296,8.77032706,
0.00298,-6.845839576,0.00298,8.77032706,
0.003,-5.018688105,0.003,8.039466472,
0.00302,-4.653257811,0.00302,8.77032706,
0.00304,-3.922397223,0.00304,8.404896766,
0.00306,-1.729815458,0.00306,8.404896766,
0.00308,-1.364385164,0.00308,8.404896766,
0.0031,1.193626896,0.0031,8.77032706,
0.00312,2.289917778,0.00312,8.039466472,
0.00314,5.213360132,0.00314,8.404896766,
0.00316,3.751638955,0.00316,8.039466472,
0.00318,6.309651014,0.00318,8.404896766,
0.0032,7.405941897,0.0032,8.404896766,
0.00322,6.675081308,0.00322,8.404896766,
0.00324,7.405941897,0.00324,8.039466472,
0.00326,8.502232779,0.00326,8.77032706,
0.00328,7.040511602,0.00328,8.77032706,
0.0033,8.502232779,0.0033,8.404896766,
0.00332,8.136802485,0.00332,8.77032706,
0.00334,8.136802485,0.00334,8.77032706,
0.00336,8.502232779,0.00336,8.039466472,
0.00338,8.136802485,0.00338,8.77032706,
0.0034,8.136802485,0.0034,8.77032706,
0.00342,7.771372191,0.00342,8.404896766,
0.00344,8.136802485,0.00344,8.039466472,
0.00346,6.309651014,0.00346,8.404896766,
0.00348,5.94422072,0.00348,8.404896766,
0.0035,3.751638955,0.0035,8.404896766,
0.00352,3.020778367,0.00352,8.77032706,
0.00354,1.193626896,0.00354,8.404896766,
0.00356,0.8281966015,0.00356,8.77032706,
0.00358,-0.6335245752,0.00358,8.039466472,
0.0036,-2.095245752,0.0036,8.039466472,
0.00362,-3.556966929,0.00362,9.135757354,
0.00364,-5.018688105,0.00364,8.039466472,
0.00366,-6.845839576,0.00366,8.039466472,
0.00368,-6.480409282,0.00368,8.77032706,
0.0037,-7.942130459,0.0037,8.404896766,
0.00372,-9.769281929,0.00372,8.039466472,
0.00374,-8.307560753,0.00374,8.039466472,
0.00376,-10.50014252,0.00376,8.77032706,
0.00378,-9.038421341,0.00378,8.404896766,
0.0038,-9.038421341,0.0038,8.77032706,
0.00382,-9.403851635,0.00382,8.77032706,
0.00384,-8.307560753,0.00384,8.404896766,
0.00386,-9.769281929,0.00386,8.404896766,
0.00388,-8.307560753,0.00388,8.404896766,
0.0039,-5.018688105,0.0039,8.039466472,
0.00392,-5.384118399,0.00392,7.674036178,
0.00394,-4.653257811,0.00394,8.404896766,
0.00396,-3.922397223,0.00396,8.404896766,
0.00398,-1.729815458,0.00398,8.039466472,
0.004,-1.729815458,0.004,8.404896766,
0.00402,1.193626896,0.00402,7.308605883,
0.00404,0.8281966015,0.00404,8.039466472,
0.00406,3.020778367,0.00406,8.404896766,
0.00408,5.578790426,0.00408,8.039466472,
0.0041,5.213360132,0.0041,7.674036178,
0.00412,7.040511602,0.00412,9.135757354,
0.00414,7.405941897,0.00414,8.039466472,
0.00416,7.405941897,0.00416,7.674036178,
0.00418,9.233093367,0.00418,8.039466472,
0.0042,6.675081308,0.0042,8.404896766,
0.00422,7.771372191,0.00422,8.039466472,
0.00424,8.867663073,0.00424,8.404896766,
0.00426,8.136802485,0.00426,8.404896766,
0.00428,7.771372191,0.00428,7.674036178,
0.0043,9.233093367,0.0043,8.404896766,
0.00432,7.771372191,0.00432,7.308605883,
0.00434,8.136802485,0.00434,7.674036178,
0.00436,7.771372191,0.00436,8.77032706,
0.00438,8.502232779,0.00438,8.039466472,
0.0044,7.405941897,0.0044,7.308605883,
0.00442,5.94422072,0.00442,8.039466472,
0.00444,3.386208661,0.00444,8.77032706,
0.00446,2.655348072,0.00446,8.039466472,
0.00448,1.55905719,0.00448,8.404896766,
0.0045,0.09733601316,0.0045,8.404896766,
0.00452,-1.364385164,0.00452,8.77032706,
0.00454,-1.729815458,0.00454,8.404896766,
0.00456,-4.287827517,0.00456,8.404896766,
0.00458,-6.480409282,0.00458,8.039466472,
0.0046,-6.114978988,0.0046,8.039466472,
0.00462,-7.21126987,0.00462,8.039466472,
0.00464,-7.942130459,0.00464,8.039466472,
0.00466,-7.942130459,0.00466,8.404896766,
0.00468,-9.403851635,0.00468,8.404896766,
0.0047,-8.672991047,0.0047,8.404896766,
0.00472,-9.403851635,0.00472,7.674036178,
0.00474,-10.50014252,0.00474,8.404896766,
0.00476,-8.672991047,0.00476,8.039466472,
0.00478,-9.038421341,0.00478,8.77032706,
0.0048,-7.942130459,0.0048,8.404896766,
0.00482,-7.576700164,0.00482,8.039466472,
0.00484,-5.018688105,0.00484,8.039466472,
0.00486,-5.384118399,0.00486,8.404896766,
0.00488,-4.653257811,0.00488,8.404896766,
0.0049,-1.729815458,0.0049,7.674036178,
0.00492,-1.729815458,0.00492,7.674036178,
0.00494,-0.6335245752,0.00494,7.674036178,
0.00496,1.193626896,0.00496,8.039466472,
0.00498,1.55905719,0.00498,8.77032706,
0.005,3.386208661,0.005,8.039466472,
0.00502,4.482499543,0.00502,8.404896766,
0.00504,7.405941897,0.00504,8.404896766,
0.00506,6.675081308,0.00506,8.039466472,
0.00508,7.040511602,0.00508,8.039466472,
0.0051,7.771372191,0.0051,8.039466472,
0.00512,7.771372191,0.00512,7.674036178,
0.00514,9.598523662,0.00514,8.404896766,
0.00516,7.771372191,0.00516,8.039466472,
0.00518,8.502232779,0.00518,7.674036178,
0.0052,7.771372191,0.0052,8.404896766,
0.00522,8.502232779,0.00522,8.404896766,
0.00524,7.040511602,0.00524,8.404896766,
0.00526,7.771372191,0.00526,8.404896766,
0.00528,9.598523662,0.00528,8.039466472,
0.0053,7.771372191,0.0053,8.039466472,
0.00532,7.405941897,0.00532,8.404896766,
0.00534,5.94422072,0.00534,8.404896766,
0.00536,5.578790426,0.00536,7.674036178,
0.00538,4.117069249,0.00538,8.039466472,
0.0054,3.020778367,0.0054,8.039466472,
0.00542,0.8281966015,0.00542,8.404896766,
0.00544,-0.6335245752,0.00544,8.77032706,
0.00546,-2.82610634,0.00546,8.404896766,
0.00548,-2.82610634,0.00548,8.404896766,
0.0055,-4.653257811,0.0055,8.77032706,
0.00552,-5.384118399,0.00552,8.404896766,
