"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-7.230644984,0,8.404896766,
2e-05,-6.86521469,2e-05,8.404896766,
4e-05,-6.499784396,4e-05,8.77032706,
6e-05,-5.403493514,6e-05,8.404896766,
8e-05,-2.845481454,8e-05,8.039466472,
0.0001,-2.114620866,0.0001,8.404896766,
0.00012,-0.6528996894,0.00012,8.404896766,
0.00014,1.539682076,0.00014,8.039466472,
0.00016,5.559415312,0.00016,9.135757354,
0.00018,3.366833547,0.00018,8.039466472,
0.0002,4.463124429,0.0002,8.404896766,
0.00022,7.386566782,0.00022,8.77032706,
0.00024,7.021136488,0.00024,8.039466472,
0.00026,8.117427371,0.00026,8.404896766,
0.00028,7.021136488,0.00028,8.404896766,
0.0003,7.386566782,0.0003,8.039466472,
0.00032,7.751997077,0.00032,8.404896766,
0.00034,8.482857665,0.00034,8.404896766,
0.00036,6.655706194,0.00036,8.039466472,
0.00038,8.848287959,0.00038,8.039466472,
0.0004,8.482857665,0.0004,8.77032706,
0.00042,8.482857665,0.00042,8.404896766,
0.00044,7.751997077,0.00044,8.039466472,
0.00046,7.021136488,0.00046,9.135757354,
0.00048,8.482857665,0.00048,9.135757354,
0.0005,8.117427371,0.0005,8.404896766,
0.00052,4.463124429,0.00052,8.77032706,
0.00054,4.828554723,0.00054,8.404896766,
0.00056,2.270542664,0.00056,8.404896766,
0.00058,1.90511237,0.00058,8.77032706,
0.0006,-1.018329984,0.0006,8.404896766,
0.00062,-2.48005116,0.00062,8.039466472,
0.00064,-3.210911749,0.00064,8.77032706,
0.00066,-5.038063219,0.00066,8.039466472,
0.00068,-5.403493514,0.00068,8.039466472,
0.0007,-7.230644984,0.0007,8.77032706,
0.00072,-6.86521469,0.00072,8.404896766,
0.00074,-7.961505573,0.00074,8.404896766,
0.00076,-8.326935867,0.00076,8.77032706,
0.00078,-10.88494793,0.00078,8.039466472,
0.0008,-9.057796455,0.0008,8.039466472,
0.00082,-9.423226749,0.00082,9.135757354,
0.00084,-10.15408734,0.00084,8.404896766,
0.00086,-9.423226749,0.00086,8.404896766,
0.00088,-9.423226749,0.00088,9.135757354,
0.0009,-8.692366161,0.0009,8.039466472,
0.00092,-7.961505573,0.00092,8.404896766,
0.00094,-6.499784396,0.00094,8.77032706,
0.00096,-5.403493514,0.00096,9.135757354,
0.00098,-5.038063219,0.00098,7.674036178,
0.001,-3.210911749,0.001,9.135757354,
0.00102,-3.576342043,0.00102,8.039466472,
0.00104,-0.6528996894,0.00104,8.404896766,
0.00106,0.07796089896,0.00106,8.404896766,
0.00108,1.90511237,0.00108,8.039466472,
0.0011,2.270542664,0.0011,8.404896766,
0.00112,4.097694135,0.00112,8.77032706,
0.00114,5.559415312,0.00114,8.404896766,
0.00116,7.021136488,0.00116,8.404896766,
0.00118,5.924845606,0.00118,8.404896766,
0.0012,7.386566782,0.0012,8.404896766,
0.00122,9.213718253,0.00122,8.77032706,
0.00124,7.386566782,0.00124,8.77032706,
0.00126,8.482857665,0.00126,8.404896766,
0.00128,7.751997077,0.00128,8.77032706,
0.0013,7.751997077,0.0013,8.404896766,
0.00132,5.924845606,0.00132,8.404896766,
0.00134,8.117427371,0.00134,8.039466472,
0.00136,8.117427371,0.00136,9.135757354,
0.00138,7.751997077,0.00138,8.039466472,
0.0014,8.482857665,0.0014,9.135757354,
0.00142,7.386566782,0.00142,8.77032706,
0.00144,6.2902759,0.00144,8.404896766,
0.00146,4.828554723,0.00146,8.404896766,
0.00148,-0.2874693952,0.00148,8.404896766,
0.0015,3.366833547,0.0015,8.404896766,
0.00152,0.8088214873,0.00152,9.135757354,
0.00154,-1.018329984,0.00154,8.404896766,
0.00156,-2.48005116,0.00156,8.404896766,
0.00158,-2.845481454,0.00158,8.404896766,
0.0016,-5.038063219,0.0016,8.404896766,
0.00162,-5.768923808,0.00162,8.404896766,
0.00164,-7.961505573,0.00164,8.77032706,
0.00166,-7.596075279,0.00166,8.77032706,
