"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,-3.739265485,0,4.38516353,
2e-05,-3.008404897,2e-05,4.38516353,
4e-05,-3.008404897,4e-05,4.750593824,
6e-05,-2.642974603,6e-05,4.019733236,
8e-05,-3.008404897,8e-05,3.654302942,
0.0001,-1.912114014,0.0001,4.750593824,
0.00012,-1.54668372,0.00012,4.019733236,
0.00014,-1.181253426,0.00014,4.750593824,
0.00016,-0.08496254339,0.00016,4.750593824,
0.00018,-0.8158231317,0.00018,5.481454413,
0.0002,0.6458980449,0.0002,4.38516353,
0.00022,-0.4503928376,0.00022,4.750593824,
0.00024,0.6458980449,0.00024,4.38516353,
0.00026,-0.4503928376,0.00026,4.019733236,
0.00028,3.569340398,0.00028,4.019733236,
0.0003,2.107619222,0.0003,4.38516353,
0.00032,2.107619222,0.00032,3.654302942,
0.00034,1.011328339,0.00034,4.38516353,
0.00036,2.83847981,0.00036,4.019733236,
0.00038,4.300200987,0.00038,3.288872648,
0.0004,3.569340398,0.0004,4.38516353,
0.00042,3.934770692,0.00042,4.38516353,
0.00044,3.203910104,0.00044,4.019733236,
0.00046,3.934770692,0.00046,5.481454413,
0.00048,1.376758633,0.00048,5.846884707,
0.0005,2.107619222,0.0005,4.38516353,
0.00052,3.203910104,0.00052,4.019733236,
0.00054,2.83847981,0.00054,4.38516353,
0.00056,3.569340398,0.00056,4.019733236,
0.00058,0.6458980449,0.00058,4.38516353,
0.0006,1.376758633,0.0006,4.019733236,
0.00062,0.6458980449,0.00062,4.019733236,
0.00064,-0.08496254339,0.00064,4.750593824,
0.00066,-0.08496254339,0.00066,4.019733236,
0.00068,-0.08496254339,0.00068,4.019733236,
0.0007,-1.912114014,0.0007,4.38516353,
0.00072,-2.642974603,0.00072,4.019733236,
0.00074,-2.277544308,0.00074,4.019733236,
0.00076,-3.008404897,0.00076,4.750593824,
0.00078,-5.200986662,0.00078,5.481454413,
0.0008,-1.912114014,0.0008,4.38516353,
0.00082,-4.104695779,0.00082,4.750593824,
0.00084,-3.008404897,0.00084,4.750593824,
0.00086,-2.642974603,0.00086,3.654302942,
0.00088,-3.373835191,0.00088,5.116024118,
0.0009,-3.739265485,0.0009,4.750593824,
0.00092,-5.566416956,0.00092,4.38516353,
0.00094,-3.008404897,0.00094,4.750593824,
0.00096,-3.373835191,0.00096,4.750593824,
0.00098,-2.642974603,0.00098,3.654302942,
0.001,-1.54668372,0.001,4.750593824,
0.00102,-1.912114014,0.00102,4.750593824,
0.00104,-1.54668372,0.00104,4.38516353,
0.00106,-1.181253426,0.00106,4.38516353,
0.00108,-0.8158231317,0.00108,4.750593824,
0.0011,0.2804677508,0.0011,4.38516353,
0.00112,0.2804677508,0.00112,4.750593824,
0.00114,1.011328339,0.00114,4.38516353,
0.00116,2.107619222,0.00116,4.019733236,
0.00118,2.107619222,0.00118,5.116024118,
0.0012,3.203910104,0.0012,4.750593824,
0.00122,2.473049516,0.00122,4.38516353,
0.00124,3.934770692,0.00124,4.750593824,
0.00126,1.376758633,0.00126,4.38516353,
0.00128,3.934770692,0.00128,4.019733236,
0.0013,4.665631281,0.0013,4.750593824,
0.00132,3.203910104,0.00132,4.750593824,
0.00134,3.569340398,0.00134,4.38516353,
0.00136,3.934770692,0.00136,4.38516353,
0.00138,5.031061575,0.00138,4.750593824,
0.0014,0.6458980449,0.0014,4.38516353,
0.00142,2.83847981,0.00142,4.750593824,
0.00144,2.83847981,0.00144,4.38516353,
0.00146,1.742188927,0.00146,4.38516353,
0.00148,2.473049516,0.00148,4.750593824,
0.0015,3.934770692,0.0015,4.38516353,
0.00152,1.011328339,0.00152,4.38516353,
0.00154,1.742188927,0.00154,4.38516353,
0.00156,-0.08496254339,0.00156,4.38516353,
0.00158,-0.8158231317,0.00158,4.019733236,
0.0016,0.2804677508,0.0016,4.750593824,
0.00162,-0.4503928376,0.00162,4.750593824,
0.00164,-1.54668372,0.00164,4.38516353,
0.00166,-3.373835191,0.00166,4.750593824,
0.00168,-3.373835191,0.00168,4.38516353,
0.0017,-3.739265485,0.0017,4.38516353,
0.00172,-4.104695779,0.00172,4.019733236,
0.00174,-3.739265485,0.00174,4.38516353,
0.00176,-3.008404897,0.00176,4.38516353,
0.00178,-3.008404897,0.00178,5.116024118,
0.0018,-1.54668372,0.0018,4.38516353,
0.00182,-4.470126073,0.00182,4.019733236,
0.00184,-3.008404897,0.00184,3.654302942,
0.00186,-4.470126073,0.00186,4.38516353,
0.00188,-2.642974603,0.00188,4.38516353,
0.0019,-2.277544308,0.0019,4.38516353,
0.00192,-2.642974603,0.00192,4.750593824,
0.00194,-2.642974603,0.00194,4.019733236,
0.00196,-0.8158231317,0.00196,4.750593824,
0.00198,-0.8158231317,0.00198,4.38516353,
0.002,-2.277544308,0.002,4.019733236,
0.00202,-0.08496254339,0.00202,4.750593824,
0.00204,0.2804677508,0.00204,4.38516353,
0.00206,0.6458980449,0.00206,4.750593824,
0.00208,1.376758633,0.00208,4.750593824,
0.0021,0.2804677508,0.0021,4.750593824,
0.00212,2.83847981,0.00212,4.38516353,
0.00214,2.107619222,0.00214,4.750593824,
0.00216,1.742188927,0.00216,4.38516353,
0.00218,2.107619222,0.00218,4.019733236,
0.0022,3.934770692,0.0022,4.38516353,
0.00222,1.742188927,0.00222,4.750593824,
0.00224,5.031061575,0.00224,4.38516353,
0.00226,4.300200987,0.00226,4.38516353,
0.00228,2.473049516,0.00228,4.750593824,
0.0023,3.203910104,0.0023,4.750593824,
0.00232,3.203910104,0.00232,4.750593824,
0.00234,3.569340398,0.00234,4.38516353,
0.00236,2.83847981,0.00236,4.38516353,
0.00238,2.83847981,0.00238,4.38516353,
0.0024,3.203910104,0.0024,4.750593824,
0.00242,2.107619222,0.00242,4.38516353,
0.00244,2.107619222,0.00244,4.38516353,
0.00246,0.2804677508,0.00246,4.750593824,
0.00248,0.6458980449,0.00248,4.019733236,
0.0025,-1.54668372,0.0025,4.750593824,
0.00252,-0.4503928376,0.00252,4.750593824,
0.00254,-0.4503928376,0.00254,3.654302942,
0.00256,-1.181253426,0.00256,4.750593824,
0.00258,-1.912114014,0.00258,3.654302942,
0.0026,-2.642974603,0.0026,4.019733236,
0.00262,-3.373835191,0.00262,3.654302942,
0.00264,-2.642974603,0.00264,4.38516353,
0.00266,-2.642974603,0.00266,4.38516353,
0.00268,-3.008404897,0.00268,3.654302942,
0.0027,-3.373835191,0.0027,4.019733236,
0.00272,-3.739265485,0.00272,4.38516353,
0.00274,-3.373835191,0.00274,4.019733236,
0.00276,-3.739265485,0.00276,4.750593824,
0.00278,-4.835556368,0.00278,4.38516353,
0.0028,-2.642974603,0.0028,4.019733236,
0.00282,-2.642974603,0.00282,4.38516353,
0.00284,-2.642974603,0.00284,4.38516353,
0.00286,-2.642974603,0.00286,3.654302942,
0.00288,-1.54668372,0.00288,4.38516353,
0.0029,-0.8158231317,0.0029,4.38516353,
0.00292,-1.54668372,0.00292,3.654302942,
0.00294,-1.181253426,0.00294,4.38516353,
0.00296,0.6458980449,0.00296,4.38516353,
0.00298,-0.8158231317,0.00298,3.654302942,
0.003,1.376758633,0.003,4.019733236,
0.00302,1.742188927,0.00302,4.38516353,
0.00304,1.376758633,0.00304,3.654302942,
0.00306,2.83847981,0.00306,4.750593824,
0.00308,2.83847981,0.00308,4.38516353,
0.0031,2.107619222,0.0031,3.654302942,
0.00312,3.569340398,0.00312,4.38516353,
0.00314,3.203910104,0.00314,4.38516353,
0.00316,2.83847981,0.00316,4.019733236,
0.00318,2.83847981,0.00318,4.019733236,
0.0032,3.934770692,0.0032,4.38516353,
0.00322,2.83847981,0.00322,4.019733236,
0.00324,5.761922163,0.00324,4.38516353,
0.00326,3.569340398,0.00326,4.38516353,
0.00328,4.300200987,0.00328,4.019733236,
0.0033,4.300200987,0.0033,4.38516353,
0.00332,3.569340398,0.00332,4.38516353,
0.00334,3.203910104,0.00334,4.019733236,
0.00336,2.83847981,0.00336,4.019733236,
0.00338,2.107619222,0.00338,4.38516353,
0.0034,0.2804677508,0.0034,3.288872648,
0.00342,0.2804677508,0.00342,4.38516353,
0.00344,0.6458980449,0.00344,4.019733236,
0.00346,1.011328339,0.00346,3.654302942,
0.00348,-1.912114014,0.00348,4.38516353,
0.0035,-0.8158231317,0.0035,4.750593824,
0.00352,-1.912114014,0.00352,4.019733236,
0.00354,-1.181253426,0.00354,4.38516353,
0.00356,-2.277544308,0.00356,4.019733236,
0.00358,-2.642974603,0.00358,4.019733236,
0.0036,-3.739265485,0.0036,4.750593824,
0.00362,-2.642974603,0.00362,4.38516353,
0.00364,-4.470126073,0.00364,4.019733236,
0.00366,-3.739265485,0.00366,4.019733236,
0.00368,-2.642974603,0.00368,4.38516353,
