"A0_accX_x","A0_accX_y","A1_rmsX_x","A1_rmsX_y"
0,3.190440344,0,4.019733236,
2e-05,4.286731226,2e-05,4.019733236,
4e-05,2.459579755,4e-05,4.019733236,
6e-05,2.094149461,6e-05,3.288872648,
8e-05,0.9978585785,8e-05,3.654302942,
0.0001,0.6324282843,0.0001,4.38516353,
0.00012,0.6324282843,0.00012,4.38516353,
0.00014,-0.4638625982,0.00014,4.019733236,
0.00016,-0.09843230404,0.00016,4.019733236,
0.00018,-0.4638625982,0.00018,4.38516353,
0.0002,-1.925583775,0.0002,3.654302942,
0.00022,-1.560153481,0.00022,4.019733236,
0.00024,-3.021874657,0.00024,4.019733236,
0.00026,-2.291014069,0.00026,4.750593824,
0.00028,-3.752735246,0.00028,4.38516353,
0.0003,-3.387304952,0.0003,4.019733236,
0.00032,-1.560153481,0.00032,3.654302942,
0.00034,-1.194723187,0.00034,4.38516353,
0.00036,-3.752735246,0.00036,4.019733236,
0.00038,-4.11816554,0.00038,3.288872648,
0.0004,-3.021874657,0.0004,4.38516353,
0.00042,-3.752735246,0.00042,4.019733236,
0.00044,-3.387304952,0.00044,4.019733236,
0.00046,-2.291014069,0.00046,4.019733236,
0.00048,-1.194723187,0.00048,4.38516353,
0.0005,-2.291014069,0.0005,3.654302942,
0.00052,-1.194723187,0.00052,4.019733236,
0.00054,-1.194723187,0.00054,4.019733236,
0.00056,-4.483595834,0.00056,3.654302942,
0.00058,0.6324282843,0.00058,4.38516353,
0.0006,0.2669979901,0.0006,4.38516353,
0.00062,0.2669979901,0.00062,3.654302942,
0.00064,0.9978585785,0.00064,4.38516353,
0.00066,0.9978585785,0.00066,4.38516353,
0.00068,1.363288873,0.00068,4.019733236,
0.0007,2.825010049,0.0007,4.019733236,
0.00072,1.728719167,0.00072,4.019733236,
0.00074,0.9978585785,0.00074,3.654302942,
0.00076,3.190440344,0.00076,4.38516353,
0.00078,2.094149461,0.00078,4.019733236,
0.0008,3.555870638,0.0008,4.750593824,
0.00082,3.921300932,0.00082,4.38516353,
0.00084,3.921300932,0.00084,4.750593824,
0.00086,3.555870638,0.00086,4.38516353,
0.00088,2.825010049,0.00088,4.38516353,
0.0009,3.921300932,0.0009,4.019733236,
0.00092,3.190440344,0.00092,4.750593824,
0.00094,2.094149461,0.00094,4.750593824,
0.00096,2.825010049,0.00096,4.019733236,
0.00098,2.825010049,0.00098,4.750593824,
0.001,2.459579755,0.001,4.38516353,
0.00102,1.728719167,0.00102,4.38516353,
0.00104,1.363288873,0.00104,3.654302942,
0.00106,-0.09843230404,0.00106,4.750593824,
0.00108,-0.09843230404,0.00108,4.38516353,
0.0011,-1.194723187,0.0011,4.750593824,
0.00112,-1.925583775,0.00112,4.38516353,
0.00114,-3.021874657,0.00114,4.019733236,
0.00116,-2.656444363,0.00116,4.750593824,
0.00118,-2.656444363,0.00118,4.019733236,
0.0012,-2.656444363,0.0012,4.38516353,
0.00122,-3.387304952,0.00122,3.654302942,
0.00124,-3.752735246,0.00124,4.019733236,
0.00126,-3.752735246,0.00126,4.750593824,
0.00128,-4.11816554,0.00128,4.38516353,
0.0013,-4.11816554,0.0013,3.654302942,
0.00132,-3.021874657,0.00132,4.750593824,
0.00134,-5.945317011,0.00134,4.019733236,
0.00136,-4.483595834,0.00136,4.38516353,
0.00138,-3.021874657,0.00138,5.116024118,
0.0014,-3.387304952,0.0014,4.019733236,
0.00142,-3.387304952,0.00142,4.019733236,
0.00144,-2.656444363,0.00144,4.750593824,
0.00146,-2.656444363,0.00146,4.38516353,
0.00148,-1.560153481,0.00148,4.38516353,
0.0015,-2.291014069,0.0015,4.750593824,
0.00152,-0.8292928924,0.00152,4.019733236,
0.00154,-0.09843230404,0.00154,4.38516353,
0.00156,0.2669979901,0.00156,5.116024118,
0.00158,0.9978585785,0.00158,4.38516353,
0.0016,0.6324282843,0.0016,3.654302942,
0.00162,0.9978585785,0.00162,4.750593824,
0.00164,2.094149461,0.00164,4.38516353,
0.00166,2.094149461,0.00166,4.019733236,
0.00168,2.825010049,0.00168,4.750593824,
0.0017,1.728719167,0.0017,4.38516353,
0.00172,3.190440344,0.00172,4.019733236,
0.00174,5.017591814,0.00174,4.750593824,
0.00176,3.190440344,0.00176,4.38516353,
0.00178,3.921300932,0.00178,4.019733236,
0.0018,2.459579755,0.0018,4.750593824,
0.00182,3.190440344,0.00182,4.019733236,
0.00184,3.190440344,0.00184,4.38516353,
0.00186,2.825010049,0.00186,5.116024118,
0.00188,2.094149461,0.00188,4.38516353,
0.0019,2.094149461,0.0019,4.019733236,
0.00192,1.363288873,0.00192,4.750593824,
0.00194,-0.09843230404,0.00194,4.38516353,
0.00196,-0.4638625982,0.00196,3.654302942,
0.00198,0.2669979901,0.00198,4.750593824,
0.002,-0.8292928924,0.002,4.38516353,
0.00202,-0.4638625982,0.00202,4.019733236,
0.00204,-0.8292928924,0.00204,4.750593824,
0.00206,-1.925583775,0.00206,4.019733236,
0.00208,-2.291014069,0.00208,4.019733236,
0.0021,-2.291014069,0.0021,4.019733236,
0.00212,-1.560153481,0.00212,4.019733236,
0.00214,-1.925583775,0.00214,4.019733236,
0.00216,-1.925583775,0.00216,4.750593824,
0.00218,-4.11816554,0.00218,4.38516353,
0.0022,-3.387304952,0.0022,4.38516353,
0.00222,-4.11816554,0.00222,4.750593824,
0.00224,-4.483595834,0.00224,4.38516353,
0.00226,-3.021874657,0.00226,4.019733236,
0.00228,-3.752735246,0.00228,5.116024118,
0.0023,-3.021874657,0.0023,4.019733236,
0.00232,-3.021874657,0.00232,4.019733236,
0.00234,-2.656444363,0.00234,4.750593824,
0.00236,-3.021874657,0.00236,4.38516353,
0.00238,-2.656444363,0.00238,4.019733236,
0.0024,-1.560153481,0.0024,4.750593824,
0.00242,-1.560153481,0.00242,5.116024118,
0.00244,-3.021874657,0.00244,3.654302942,
0.00246,-0.4638625982,0.00246,4.750593824,
0.00248,-0.09843230404,0.00248,4.38516353,
0.0025,1.728719167,0.0025,4.019733236,
0.00252,1.363288873,0.00252,4.750593824,
0.00254,0.9978585785,0.00254,4.019733236,
0.00256,0.6324282843,0.00256,3.288872648,
0.00258,3.190440344,0.00258,4.38516353,
0.0026,0.9978585785,0.0026,4.019733236,
0.00262,3.190440344,0.00262,3.654302942,
0.00264,3.190440344,0.00264,4.38516353,
0.00266,3.555870638,0.00266,4.019733236,
0.00268,2.825010049,0.00268,4.019733236,
0.0027,3.921300932,0.0027,4.750593824,
0.00272,2.825010049,0.00272,4.750593824,
0.00274,5.017591814,0.00274,4.38516353,
0.00276,3.190440344,0.00276,4.750593824,
0.00278,2.825010049,0.00278,4.750593824,
0.0028,3.190440344,0.0028,4.019733236,
0.00282,1.363288873,0.00282,4.750593824,
0.00284,2.459579755,0.00284,4.019733236,
0.00286,1.728719167,0.00286,4.019733236,
0.00288,1.363288873,0.00288,5.116024118,
0.0029,0.2669979901,0.0029,4.38516353,
0.00292,0.2669979901,0.00292,4.019733236,
0.00294,0.2669979901,0.00294,5.116024118,
0.00296,-1.194723187,0.00296,4.38516353,
0.00298,-1.560153481,0.00298,4.019733236,
0.003,0.9978585785,0.003,4.750593824,
0.00302,-1.925583775,0.00302,4.38516353,
0.00304,-2.291014069,0.00304,4.38516353,
0.00306,-2.656444363,0.00306,4.750593824,
0.00308,-3.021874657,0.00308,3.654302942,
0.0031,-4.11816554,0.0031,3.654302942,
0.00312,-4.11816554,0.00312,4.750593824,
0.00314,-4.11816554,0.00314,4.38516353,
0.00316,-4.11816554,0.00316,4.019733236,
0.00318,-1.925583775,0.00318,5.481454413,
0.0032,-4.11816554,0.0032,4.38516353,
0.00322,-3.752735246,0.00322,4.019733236,
0.00324,-3.021874657,0.00324,4.750593824,
0.00326,-3.387304952,0.00326,4.019733236,
0.00328,-2.291014069,0.00328,4.38516353,
0.0033,-3.021874657,0.0033,4.750593824,
0.00332,-2.656444363,0.00332,3.654302942,
0.00334,0.6324282843,0.00334,4.019733236,
0.00336,-1.194723187,0.00336,4.38516353,
0.00338,-1.194723187,0.00338,3.288872648,
0.0034,-0.09843230404,0.0034,4.38516353,
0.00342,0.9978585785,0.00342,4.750593824,
0.00344,0.6324282843,0.00344,4.38516353,
0.00346,2.459579755,0.00346,4.38516353,
0.00348,0.6324282843,0.00348,4.750593824,
0.0035,2.459579755,0.0035,4.38516353,
0.00352,3.190440344,0.00352,4.38516353,
0.00354,2.094149461,0.00354,4.38516353,
0.00356,3.190440344,0.00356,4.750593824,
0.00358,3.555870638,0.00358,5.481454413,
0.0036,4.286731226,0.0036,4.750593824,
0.00362,3.190440344,0.00362,4.38516353,
0.00364,3.921300932,0.00364,4.019733236,
0.00366,3.921300932,0.00366,4.38516353,
0.00368,2.825010049,0.00368,3.654302942,
0.0037,4.65216152,0.0037,4.38516353,
0.00372,5.017591814,0.00372,4.38516353,
